y_pm25,x_aod,sensor_type
23.0,196.0,reference grade
116.0,1082.0,reference grade
192.8,336.0,low-cost sensor
127.0,903.0,low-cost sensor
88.7,671.0,reference grade
11.0,64.0,reference grade
26.6,67.0,reference grade
155.7,1665.0,reference grade
23.9,222.0,low-cost sensor
16.0,100.0,reference grade
15.0,265.0,reference grade
30.2,93.0,reference grade
58.9,822.0,low-cost sensor
24.6,53.0,low-cost sensor
56.3,680.0,reference grade
27.0,218.0,reference grade
207.2,1276.0,low-cost sensor
26.3,338.0,low-cost sensor
29.8,124.0,low-cost sensor
27.0,45.0,reference grade
39.2,117.0,low-cost sensor
33.1,58.0,low-cost sensor
39.5,207.0,low-cost sensor
28.5,176.0,low-cost sensor
168.8,1530.0,low-cost sensor
13.0,87.0,reference grade
78.0,320.0,reference grade
24.1,102.0,reference grade
36.4,111.0,low-cost sensor
14.6,279.0,reference grade
135.1,1138.0,reference grade
35.5,216.0,low-cost sensor
60.6,282.0,low-cost sensor
27.0,64.0,reference grade
47.6,44.0,reference grade
75.9,358.0,low-cost sensor
23.0,198.0,low-cost sensor
20.0,765.0,reference grade
39.6,323.0,reference grade
26.6,50.0,low-cost sensor
141.3,829.0,low-cost sensor
80.4,826.0,reference grade
121.9,903.0,low-cost sensor
25.4,66.0,low-cost sensor
322.5,1155.0,low-cost sensor
26.0,188.0,reference grade
179.0,1441.0,reference grade
34.9,231.0,low-cost sensor
46.2,829.0,reference grade
19.0,51.0,reference grade
18.1,116.0,low-cost sensor
49.5,217.0,low-cost sensor
71.0,1015.0,reference grade
4.3,367.0,low-cost sensor
21.6,153.0,low-cost sensor
38.3,177.0,reference grade
152.6,958.0,low-cost sensor
15.9,114.0,reference grade
76.0,461.0,reference grade
17.0,183.0,reference grade
25.6,280.0,low-cost sensor
130.8,842.0,low-cost sensor
10.7,23.0,reference grade
32.7,252.0,reference grade
42.5,320.0,reference grade
11.3,172.0,low-cost sensor
55.3,487.0,low-cost sensor
31.0,391.0,reference grade
70.1,248.0,low-cost sensor
32.1,120.0,low-cost sensor
38.7,240.0,low-cost sensor
57.9,299.0,reference grade
63.4,373.0,low-cost sensor
24.4,67.0,reference grade
17.3,67.0,reference grade
248.0,1374.0,reference grade
231.6,399.0,low-cost sensor
15.5,4.0,reference grade
61.2,367.0,reference grade
30.0,143.0,low-cost sensor
30.1,214.0,low-cost sensor
3.7,309.0,low-cost sensor
45.9,80.0,low-cost sensor
30.6,467.0,reference grade
69.4,349.0,low-cost sensor
42.4,190.0,low-cost sensor
46.0,320.0,low-cost sensor
59.3,776.0,low-cost sensor
199.0,988.0,reference grade
36.0,235.0,reference grade
25.0,221.0,reference grade
21.3,81.0,low-cost sensor
15.9,51.0,low-cost sensor
27.9,197.0,low-cost sensor
31.4,35.0,low-cost sensor
37.5,216.0,low-cost sensor
97.7,368.0,low-cost sensor
34.0,128.0,low-cost sensor
238.6,399.0,low-cost sensor
24.3,185.0,reference grade
31.4,278.0,low-cost sensor
28.4,118.0,low-cost sensor
37.8,357.0,low-cost sensor
19.0,192.0,reference grade
103.8,940.0,reference grade
50.2,471.0,reference grade
35.9,224.0,reference grade
38.4,213.0,reference grade
23.0,177.0,reference grade
24.0,123.0,reference grade
20.5,65.0,low-cost sensor
42.0,370.0,reference grade
31.4,66.0,low-cost sensor
29.0,147.0,reference grade
19.8,200.0,low-cost sensor
26.9,67.0,low-cost sensor
28.0,233.0,reference grade
134.4,1606.0,reference grade
39.7,440.0,low-cost sensor
8.3,123.0,low-cost sensor
41.0,624.0,reference grade
28.0,338.0,reference grade
41.0,372.0,reference grade
11.8,138.0,low-cost sensor
16.1,108.0,reference grade
21.8,200.0,reference grade
123.3,1006.0,reference grade
46.5,92.0,low-cost sensor
27.0,66.0,reference grade
44.0,526.0,reference grade
139.4,1220.0,low-cost sensor
26.3,366.0,reference grade
19.0,190.0,reference grade
19.4,147.0,low-cost sensor
26.5,426.0,reference grade
27.0,103.0,reference grade
8.8,17.0,low-cost sensor
248.9,1638.0,low-cost sensor
16.0,71.0,reference grade
14.1,114.0,low-cost sensor
114.0,827.0,reference grade
37.6,93.0,low-cost sensor
43.0,266.0,reference grade
47.2,450.0,low-cost sensor
151.5,622.0,low-cost sensor
33.0,387.0,low-cost sensor
119.4,954.0,reference grade
7.0,44.0,reference grade
49.8,144.0,low-cost sensor
24.2,195.0,low-cost sensor
268.1,1187.0,low-cost sensor
25.0,134.0,reference grade
61.1,727.0,low-cost sensor
79.6,1435.0,reference grade
34.0,114.0,low-cost sensor
157.0,1044.0,reference grade
30.0,105.0,low-cost sensor
10.7,117.0,low-cost sensor
20.0,113.0,reference grade
32.0,227.0,reference grade
10.4,82.0,low-cost sensor
37.0,147.0,reference grade
84.1,517.0,low-cost sensor
39.6,285.0,low-cost sensor
46.6,463.0,low-cost sensor
26.4,129.0,low-cost sensor
47.0,140.0,low-cost sensor
53.0,256.0,low-cost sensor
127.9,839.0,reference grade
100.7,938.0,reference grade
76.5,497.0,low-cost sensor
36.5,216.0,low-cost sensor
112.0,918.0,reference grade
119.3,1358.0,low-cost sensor
31.0,220.0,reference grade
19.2,43.0,reference grade
22.4,185.0,reference grade
76.1,197.0,low-cost sensor
35.0,130.0,reference grade
20.6,118.0,low-cost sensor
13.1,59.0,low-cost sensor
61.7,584.0,low-cost sensor
16.8,132.0,low-cost sensor
24.0,10.0,reference grade
60.7,718.0,reference grade
33.0,543.0,reference grade
14.8,154.0,low-cost sensor
34.4,106.0,reference grade
31.3,125.0,low-cost sensor
14.2,120.0,low-cost sensor
29.0,163.0,reference grade
23.0,144.0,reference grade
182.0,1357.0,reference grade
36.5,84.0,low-cost sensor
23.0,126.0,reference grade
20.1,1.0,low-cost sensor
32.0,236.0,reference grade
149.8,960.0,low-cost sensor
13.0,50.0,reference grade
70.0,230.0,reference grade
31.0,190.0,reference grade
15.0,32.0,low-cost sensor
39.2,106.0,low-cost sensor
49.0,390.0,reference grade
39.0,227.0,reference grade
20.3,140.0,reference grade
29.6,119.0,low-cost sensor
31.0,258.0,reference grade
29.9,413.0,low-cost sensor
23.5,53.0,low-cost sensor
17.0,183.0,reference grade
33.9,113.0,low-cost sensor
13.1,0.0,low-cost sensor
17.0,214.0,reference grade
40.7,170.0,low-cost sensor
92.0,261.0,reference grade
4.7,86.0,low-cost sensor
18.0,83.0,reference grade
28.2,159.0,low-cost sensor
14.0,151.0,reference grade
285.0,1366.0,low-cost sensor
131.9,283.0,low-cost sensor
26.8,294.0,low-cost sensor
32.0,133.0,reference grade
15.0,507.0,reference grade
56.9,559.0,reference grade
63.7,723.0,reference grade
44.6,166.0,low-cost sensor
28.8,176.0,reference grade
20.0,247.0,low-cost sensor
36.0,318.0,reference grade
23.0,167.0,reference grade
37.0,329.0,reference grade
135.8,386.0,low-cost sensor
310.0,1358.0,reference grade
37.0,145.0,reference grade
6.7,129.0,low-cost sensor
80.0,465.0,low-cost sensor
20.0,92.0,reference grade
13.5,249.0,low-cost sensor
50.8,135.0,low-cost sensor
32.4,111.0,low-cost sensor
7.0,262.0,reference grade
48.7,375.0,low-cost sensor
12.2,288.0,low-cost sensor
49.8,282.0,low-cost sensor
38.4,426.0,low-cost sensor
31.3,288.0,low-cost sensor
16.0,141.0,reference grade
10.0,15.0,reference grade
28.5,77.0,low-cost sensor
134.9,559.0,low-cost sensor
93.8,618.0,reference grade
47.4,143.0,low-cost sensor
46.7,699.0,reference grade
16.0,234.0,reference grade
68.0,421.0,reference grade
75.2,785.0,low-cost sensor
34.0,71.0,low-cost sensor
31.8,420.0,reference grade
64.3,724.0,low-cost sensor
17.2,48.0,low-cost sensor
31.5,74.0,low-cost sensor
56.0,399.0,reference grade
17.2,205.0,low-cost sensor
26.6,8.0,reference grade
190.5,1069.0,low-cost sensor
44.8,185.0,low-cost sensor
38.5,83.0,low-cost sensor
12.1,118.0,low-cost sensor
109.9,962.0,reference grade
27.0,210.0,reference grade
27.7,127.0,low-cost sensor
102.0,712.0,reference grade
36.6,176.0,low-cost sensor
124.8,951.0,low-cost sensor
27.4,4.0,low-cost sensor
20.0,33.0,reference grade
36.5,158.0,low-cost sensor
32.0,181.0,reference grade
32.6,112.0,low-cost sensor
24.3,144.0,low-cost sensor
42.2,229.0,low-cost sensor
11.7,25.0,low-cost sensor
13.0,43.0,reference grade
51.0,213.0,reference grade
26.4,275.0,low-cost sensor
66.0,340.0,reference grade
141.0,1147.0,reference grade
33.7,100.0,reference grade
63.4,465.0,low-cost sensor
31.4,798.0,reference grade
136.7,542.0,low-cost sensor
14.0,221.0,reference grade
52.6,227.0,low-cost sensor
266.0,2142.0,reference grade
52.0,566.0,low-cost sensor
17.7,129.0,low-cost sensor
35.4,484.0,reference grade
37.4,184.0,low-cost sensor
30.8,28.0,low-cost sensor
38.8,189.0,low-cost sensor
272.0,1032.0,reference grade
27.0,196.0,reference grade
128.9,1097.0,low-cost sensor
22.0,173.0,reference grade
104.5,898.0,reference grade
27.8,134.0,low-cost sensor
37.0,227.0,low-cost sensor
334.3,1335.0,low-cost sensor
28.2,168.0,low-cost sensor
39.0,931.0,reference grade
79.7,899.0,low-cost sensor
21.0,256.0,reference grade
68.1,777.0,low-cost sensor
36.0,318.0,reference grade
10.9,117.0,low-cost sensor
32.0,242.0,reference grade
54.9,204.0,low-cost sensor
96.4,1534.0,low-cost sensor
20.0,304.0,reference grade
18.5,152.0,reference grade
34.5,176.0,low-cost sensor
34.6,154.0,reference grade
45.5,332.0,reference grade
28.0,276.0,reference grade
23.0,191.0,reference grade
31.0,306.0,reference grade
12.4,195.0,low-cost sensor
35.0,379.0,reference grade
113.6,255.0,low-cost sensor
30.3,461.0,reference grade
123.3,1416.0,reference grade
35.4,263.0,reference grade
42.6,43.0,low-cost sensor
138.2,728.0,reference grade
17.3,59.0,low-cost sensor
34.1,126.0,reference grade
54.5,694.0,reference grade
15.2,48.0,low-cost sensor
123.6,1251.0,reference grade
42.0,311.0,reference grade
32.9,85.0,low-cost sensor
43.1,192.0,reference grade
35.6,241.0,low-cost sensor
20.6,61.0,reference grade
41.7,134.0,low-cost sensor
182.0,1516.0,reference grade
7.8,90.0,low-cost sensor
151.7,386.0,low-cost sensor
35.8,61.0,low-cost sensor
18.0,249.0,reference grade
21.0,433.0,reference grade
37.0,542.0,reference grade
28.4,192.0,low-cost sensor
12.3,142.0,low-cost sensor
25.1,139.0,low-cost sensor
61.0,355.0,reference grade
26.0,237.0,reference grade
30.0,461.0,reference grade
35.0,144.0,low-cost sensor
15.8,86.0,reference grade
61.0,243.0,reference grade
29.1,222.0,low-cost sensor
25.0,237.0,reference grade
26.5,25.0,reference grade
37.1,193.0,low-cost sensor
41.0,180.0,low-cost sensor
24.4,158.0,low-cost sensor
33.0,425.0,reference grade
117.2,666.0,reference grade
76.2,763.0,reference grade
4.6,129.0,low-cost sensor
97.9,776.0,low-cost sensor
25.0,476.0,reference grade
81.8,884.0,reference grade
22.0,331.0,reference grade
42.0,504.0,reference grade
12.0,41.0,reference grade
117.0,592.0,reference grade
186.4,889.0,low-cost sensor
17.5,196.0,low-cost sensor
52.7,345.0,low-cost sensor
36.6,93.0,low-cost sensor
22.0,379.0,reference grade
27.0,266.0,reference grade
37.0,246.0,low-cost sensor
17.0,16.0,reference grade
93.0,889.0,reference grade
72.1,336.0,low-cost sensor
143.7,749.0,low-cost sensor
67.3,239.0,low-cost sensor
117.0,592.0,reference grade
80.1,330.0,low-cost sensor
22.0,363.0,reference grade
82.4,1170.0,low-cost sensor
117.7,1171.0,low-cost sensor
184.0,1330.0,reference grade
48.6,214.0,low-cost sensor
42.0,233.0,reference grade
170.5,801.0,low-cost sensor
37.9,285.0,low-cost sensor
53.7,202.0,low-cost sensor
33.2,61.0,low-cost sensor
35.8,177.0,low-cost sensor
32.0,275.0,reference grade
24.0,166.0,reference grade
21.0,76.0,reference grade
339.0,1320.0,reference grade
20.1,64.0,low-cost sensor
12.6,76.0,low-cost sensor
22.0,148.0,reference grade
42.8,396.0,low-cost sensor
13.3,25.0,low-cost sensor
16.0,391.0,reference grade
180.5,1582.0,low-cost sensor
34.0,310.0,low-cost sensor
19.4,76.0,low-cost sensor
21.0,122.0,reference grade
15.0,83.0,low-cost sensor
40.0,471.0,low-cost sensor
32.0,45.0,low-cost sensor
38.1,184.0,low-cost sensor
30.0,334.0,reference grade
56.1,527.0,low-cost sensor
47.1,128.0,low-cost sensor
81.0,767.0,reference grade
27.2,28.0,low-cost sensor
88.6,779.0,low-cost sensor
44.9,414.0,reference grade
16.7,14.0,reference grade
0.2,118.0,low-cost sensor
70.9,747.0,reference grade
31.0,152.0,reference grade
26.4,174.0,low-cost sensor
21.3,2.0,reference grade
39.2,377.0,reference grade
41.3,74.0,low-cost sensor
16.6,163.0,reference grade
149.3,1325.0,reference grade
28.0,298.0,reference grade
272.7,1167.0,low-cost sensor
29.8,45.0,low-cost sensor
58.0,101.0,reference grade
201.3,973.0,low-cost sensor
2.7,122.0,low-cost sensor
15.0,130.0,reference grade
27.1,329.0,low-cost sensor
10.5,129.0,low-cost sensor
7.0,307.0,reference grade
27.8,61.0,low-cost sensor
32.0,316.0,reference grade
30.0,184.0,low-cost sensor
113.1,1274.0,low-cost sensor
119.1,951.0,low-cost sensor
82.0,329.0,reference grade
40.5,391.0,reference grade
33.9,52.0,low-cost sensor
23.5,116.0,low-cost sensor
115.0,1082.0,reference grade
139.8,1203.0,reference grade
22.5,44.0,low-cost sensor
17.0,0.0,reference grade
15.0,347.0,reference grade
357.1,1426.0,low-cost sensor
2.0,92.0,low-cost sensor
7.9,92.0,low-cost sensor
31.1,26.0,low-cost sensor
34.4,203.0,reference grade
63.6,196.0,low-cost sensor
19.8,80.0,reference grade
11.7,23.0,low-cost sensor
42.5,436.0,reference grade
21.9,37.0,reference grade
38.1,88.0,low-cost sensor
29.7,120.0,low-cost sensor
45.0,285.0,reference grade
15.8,183.0,low-cost sensor
173.5,1569.0,low-cost sensor
17.7,66.0,low-cost sensor
35.8,112.0,low-cost sensor
40.6,206.0,low-cost sensor
47.0,152.0,low-cost sensor
35.0,466.0,reference grade
41.0,328.0,reference grade
31.0,98.0,reference grade
20.0,420.0,reference grade
36.4,387.0,low-cost sensor
25.4,89.0,low-cost sensor
22.4,112.0,reference grade
85.8,939.0,reference grade
36.8,222.0,low-cost sensor
33.4,252.0,reference grade
19.0,380.0,reference grade
32.9,310.0,low-cost sensor
25.8,101.0,low-cost sensor
17.7,41.0,reference grade
17.9,147.0,reference grade
10.0,223.0,reference grade
12.0,270.0,reference grade
